,0
0,4801.3994
1,5175.6274
2,5857.474
3,5923.9814
4,5440.955
5,5504.6387
6,5728.958
7,6196.5645
8,6196.295
9,5479.2915
10,6478.4355
11,6535.178
12,6894.7207
13,6462.364
14,5533.084
15,7317.107
16,6933.7695
17,6928.1675
18,6904.0205
19,5570.5796
20,6972.5107
21,6973.2236
22,6928.1675
23,6677.9346
24,5574.236
25,5097.8433
26,5566.7686
27,6147.1226
28,6112.1826
29,5479.944
30,5692.2974
31,5997.0273
32,6413.568
33,6335.157
34,5509.7324
35,6517.3774
36,6620.9897
37,6720.2495
38,6544.2305
39,5549.594
40,6930.8657
41,6957.8066
42,6928.2744
43,6544.2305
44,5578.853
45,6964.4766
46,6984.912
47,6950.8486
48,6687.789
49,5581.738
50,5309.8535
51,5803.773
52,6314.8296
53,6208.9536
54,5500.404
55,5049.0176
56,5332.0586
57,5952.35
58,6043.407
59,5489.709
60,6105.7007
61,6199.9365
62,6402.0225
63,6316.8184
64,5536.402
65,6717.211
66,6731.178
67,6717.01
68,6503.1626
69,5574.439
70,6766.28
71,6775.8135
72,6752.4336
73,6527.676
74,6011.4756
75,5886.622
76,6423.69
77,6677.0015
78,6373.5044
79,5996.069
80,6300.3545
81,6671.512
82,6788.6943
83,6570.501
84,6018.3066
85,6752.4507
86,6869.992
87,6890.139
88,6482.801
89,6036.2744
90,6918.536
91,6977.633
92,6947.869
93,6609.6724
94,6044.25
95,6933.4927
96,6987.699
97,6953.611
98,6613.5874
99,6986.19
100,6147.1357
101,6409.6543
102,6475.507
103,6299.9795
104,6948.6055
105,6356.8564
106,6499.749
107,6532.8174
108,6343.974
109,6969.854
110,6529.8584
111,6600.6787
112,6585.1646
113,6378.829
114,6985.8887
115,6621.6895
116,6656.372
117,6610.3604
118,6403.657
119,6986.4697
120,6629.8906
121,6661.2764
122,6612.724
123,6394.414
124,6992.1177
125,5762.5435
126,5384.203
127,5927.471
128,5937.1675
129,5456.0254
130,5762.57
131,5749.8354
132,6267.65
133,6199.14
134,5456.0254
135,6425.646
136,6482.3394
137,6572.9297
138,6412.3364
139,5545.359
140,6807.2617
141,6814.619
142,6790.0923
143,6562.2324
144,5579.588
145,6847.179
146,6851.2812
147,6819.1294
148,6582.954
149,5582.844
150,4712.1035
151,5084.8555
152,5758.2773
153,5830.7324
154,5463.1963
155,5412.2856
156,5624.4077
157,6086.6743
158,6090.6826
159,5502.9917
160,6369.854
161,6429.895
162,6808.257
163,6362.3027
164,5553.6577
165,7221.2437
166,6842.932
167,6843.044
168,6810.499
169,5590.5166
170,6884.148
171,6884.793
172,6843.044
173,6585.572
174,5593.933
175,6344.7285
176,6775.4834
177,6958.829
178,6686.5527
179,5472.708
180,6712.9575
181,6976.478
182,7069.631
183,6804.584
184,5609.2373
185,7045.914
186,7152.995
187,7167.6055
188,6893.6055
189,5632.26
190,7187.227
191,7243.7275
192,7215.9043
193,6929.713
194,5640.5317
195,6781.185
196,6959.6343
197,7016.329
198,6738.857
199,6063.495
200,4183.0664
201,5209.7515
202,5877.4224
203,5766.1016
204,5989.6304
205,5035.9297
206,5781.3486
207,6274.1025
208,6091.397
209,5921.283
210,6047.984
211,6442.117
212,6629.0513
213,6337.58
214,6043.582
215,6605.2446
216,6758.5806
217,6772.2607
218,6387.7686
219,6063.33
220,6649.3237
221,6780.426
222,6785.109
223,6453.082
224,7016.873
225,6239.208
226,6434.9834
227,6469.006
228,6286.6187
229,6894.5034
230,6410.0913
231,6513.15
232,6520.0156
233,6327.5874
234,7019.323
235,6547.725
236,6594.95
237,6566.0947
238,6372.754
239,7035.427
240,6528.7954
241,6531.656
242,6477.4707
243,6337.045
244,7018.821
245,6239.208
246,6434.9834
247,6469.006
248,6286.6187
249,6914.1187
250,5708.5117
251,5347.9517
252,5869.697
253,5882.104
254,5469.9907
255,5708.5117
256,5696.7
257,6200.416
258,6131.7207
259,5469.9907
260,6493.348
261,6558.6626
262,6591.641
263,6395.8
264,5512.6113
265,6908.7666
266,6914.7646
267,6868.665
268,6595.5024
269,5599.452
270,6947.887
271,6950.4253
272,6902.1753
273,6619.1143
274,5602.863
275,5633.294
276,6587.484
277,6289.921
278,6142.703
279,5523.112
280,2768.3782
281,6298.107
282,6209.0586
283,6130.84
284,5553.8364
285,6720.205
286,6767.2383
287,6778.55
288,6526.2725
289,5530.8765
290,6990.6562
291,6996.4565
292,6949.015
293,6651.446
294,5616.2153
295,7015.2134
296,5946.076
297,6967.2773
298,5811.111
299,5618.65
300,4939.8076
301,5366.9316
302,5816.7856
303,5735.746
304,5466.4766
305,5422.435
306,5713.3467
307,5816.7856
308,5939.76
309,5496.8926
310,6109.6978
311,6246.0703
312,6359.4653
313,6154.7354
314,5544.7905
315,6585.8857
316,6633.589
317,6614.0195
318,6328.841
319,5581.7246
320,6631.7197
321,6672.5317
322,6644.777
323,6352.7715
324,6079.596
325,4855.511
326,6747.2046
327,6896.0093
328,6521.376
329,6118.2563
330,6841.463
331,6934.561
332,6896.0093
333,6558.315
334,6126.764
335,6930.303
336,6980.746
337,6882.1157
338,6584.9087
339,6134.248
340,6983.373
341,7009.15
342,6940.656
343,6597.546
344,6138.3013
345,6989.046
346,7012.4385
347,6942.434
348,6598.9155
349,6138.7036
350,6554.501
351,6609.61
352,6573.006
353,6359.3354
354,6880.0073
355,6590.036
356,6633.557
357,6589.4443
358,6372.53
359,7091.111
360,6630.0923
361,6656.137
362,6603.672
363,6387.0454
364,7095.699
365,6643.392
366,6654.6597
367,6596.2515
368,6375.789
369,7093.6816
370,6554.501
371,6609.61
372,6573.006
373,6359.3354
374,6880.0073
375,5409.4097
376,5643.93
377,6059.1934
378,5982.5156
379,5510.504
380,5994.514
381,6102.9834
382,6329.962
383,6179.214
384,5546.299
385,6612.6035
386,6633.859
387,6542.226
388,6400.1914
389,5592.3804
390,6939.3535
391,6934.972
392,6885.4067
393,6584.2925
394,5621.664
395,6970.4717
396,6964.456
397,6912.3535
398,6804.301
399,5624.3955
400,5836.104
401,6066.168
402,6341.3965
403,6145.656
404,5548.0283
405,6288.7827
406,6419.653
407,6546.361
408,6320.1133
409,5579.1216
410,6767.4385
411,6800.859
412,6780.176
413,6491.67
414,5615.919
415,6988.0977
416,6989.752
417,6936.8027
418,6621.256
419,5638.6016
420,7010.8833
421,7010.3813
422,6954.357
423,6638.027
424,5640.728
425,5958.0664
426,6198.814
427,6434.691
428,6363.8584
429,5567.621
430,5958.0664
431,6368.0117
432,6618.483
433,6363.8584
434,5597.3975
435,6807.6475
436,6841.9263
437,6821.7334
438,6516.202
439,5631.174
440,6998.673
441,7004.1875
442,6951.38
443,6628.5513
444,5651.324
445,7019.005
446,7022.0176
447,6966.221
448,6642.9116
449,6174.0786
450,6367.7876
451,6636.9644
452,6712.4087
453,6387.7944
454,6135.706
455,6635.8384
456,6793.682
457,6810.1055
458,6484.103
459,6160.228
460,6876.5923
461,6935.1836
462,6887.1787
463,6556.08
464,6179.5
465,6977.754
466,6995.3257
467,6924.764
468,6585.548
469,6187.5176
470,6986.1304
471,7000.8623
472,6928.3228
473,6588.614
474,7146.231
475,6377.0605
476,6490.9556
477,6509.7173
478,6299.1216
479,7118.651
480,6483.824
481,6562.2397
482,6555.871
483,6372.0376
484,7134.025
485,6596.1357
486,6631.4175
487,6594.322
488,6270.4507
489,7145.1494
490,6651.4795
491,6664.795
492,6611.586
493,6384.504
494,7149.142
495,6656.4917
496,6667.8735
497,6613.1543
498,6398.6343
499,7149.4575
500,5583.3833
501,5767.2026
502,6110.5063
503,6074.7065
504,5530.42
505,6167.4355
506,6252.5938
507,6408.9077
508,6215.9937
509,5572.0405
510,6849.0464
511,6729.726
512,6707.7993
513,6437.337
514,5621.647
515,6994.6343
516,6988.093
517,6932.304
518,6608.154
519,5647.9067
520,7020.969
521,7013.3403
522,6954.546
523,6629.122
524,5650.213
525,5924.45
526,6130.019
527,6347.673
528,6131.6206
529,5566.923
530,6408.8574
531,6500.9463
532,6583.269
533,6322.0234
534,5604.7476
535,6830.859
536,6854.1343
537,6818.4756
538,6504.15
539,5646.3335
540,7026.6626
541,7024.701
542,6966.1055
543,6631.0034
544,5667.853
545,7046.8184
546,7043.195
547,6982.1333
548,6646.62
549,5669.7007
550,6030.889
551,6243.1514
552,6424.3384
553,6175.6934
554,5586.3643
555,6475.363
556,6573.709
557,6635.6714
558,6352.9385
559,5622.4424
560,6862.998
561,6888.0054
562,6851.8125
563,6522.4385
564,5660.898
565,7036.741
566,7037.4526
567,6974.635
568,6634.2026
569,5680.7144
570,7055.104
571,7053.8076
572,6988.626
573,6744.4214
574,6207.66
575,6371.315
576,6617.188
577,6688.42
578,6359.2324
579,6170.134
580,6672.951
581,6814.5645
582,6824.5684
583,6574.9272
584,6203.6533
585,6775.048
586,6799.9736
587,6741.164
588,6427.7134
589,6206.7314
590,6953.168
591,6948.383
592,6864.016
593,6519.28
594,6228.07
595,6967.37
596,6961.0283
597,6875.13
598,6529.738
599,7191.1396
600,6370.594
601,6471.3496
602,6476.148
603,6267.396
604,7156.5967
605,6488.1133
606,6554.1714
607,6538.5747
608,6322.4556
609,7179.092
610,6600.3525
611,6629.654
612,6588.7163
613,6373.6846
614,7195.9604
615,6653.4404
616,6665.3535
617,6610.0273
618,6381.828
619,7195.9604
620,6658.701
621,6668.647
622,6611.8545
623,6383.0933
624,7201.6895
625,4552.9507
626,1627.0082
627,3794.805
628,4521.16
629,5514.696
630,5401.511
631,2965.7688
632,4831.9517
633,5383.007
634,5810.378
635,5028.4336
636,5449.9946
637,6046.7705
638,6226.115
639,6138.27
640,6737.333
641,6883.6377
642,6940.088
643,6723.0137
644,6345.3374
645,6882.832
646,6997.456
647,7020.139
648,6784.072
649,6364.9355
650,1019.90137
651,1573.6028
652,3678.593
653,4432.9634
654,5504.1484
655,5974.171
656,2847.346
657,4736.537
658,5303.5225
659,5790.8335
660,5391.3364
661,1883.641
662,5966.5205
663,6141.096
664,6113.6465
665,6649.642
666,6796.6113
667,6858.663
668,6632.0015
669,6322.2593
670,6794.755
671,6916.692
672,6939.2485
673,6693.1445
674,6341.914
675,1606.3762
676,2765.2368
677,4695.907
678,5031.3564
679,5629.0073
680,3372.395
681,4424.203
682,7374.7627
683,5838.298
684,5930.5415
685,6028.1606
686,6345.1675
687,6670.579
688,6582.51
689,6228.385
690,7235.17
691,7331.487
692,7305.627
693,7003.6777
694,6399.1816
695,7328.9707
696,7401.4126
697,7361.8867
698,7044.6113
699,6435.987
700,6320.7188
701,6457.3325
702,2850.6128
703,5682.732
704,6184.9688
705,4183.223
706,6926.5234
707,6763.925
708,6559.0728
709,6355.8115
710,6221.5312
711,6867.3
712,7177.765
713,6876.256
714,6477.1636
715,7046.483
716,7295.9453
717,7389.957
718,7000.6025
719,6525.643
720,7101.5386
721,7334.518
722,7409.9863
723,7033.819
724,7197.44
725,6754.4956
726,6821.4507
727,4289.987
728,6361.215
729,7059.802
730,5438.2393
731,7090.223
732,6986.3755
733,6793.9854
734,7125.149
735,6709.976
736,7057.4487
737,7233.0063
738,6982.513
739,7175.2954
740,7162.5015
741,7322.775
742,7365.337
743,7058.3105
744,7195.681
745,7198.585
746,7347.654
747,7378.423
748,7078.1494
749,7197.44
750,4209.202
751,1519.0111
752,3450.2742
753,4268.0938
754,5412.925
755,5103.3115
756,2619.4653
757,4537.755
758,5169.375
759,5702.316
760,4723.2256
761,5154.495
762,5758.4043
763,6001.0215
764,6028.946
765,6429.729
766,6568.0854
767,6654.51
768,6471.099
769,6239.3
770,6566.1187
771,6688.3213
772,6738.825
773,6528.1978
774,6259.722
775,2282.1543
776,3327.0469
777,4806.7134
778,5026.0474
779,5562.9854
780,4129.755
781,4788.198
782,5625.9683
783,5778.3013
784,5860.721
785,6147.0664
786,8039.1357
787,6157.79
788,6448.7944
789,6152.2256
790,7092.219
791,7139.231
792,7104.477
793,6822.08
794,6321.5015
795,7166.686
796,7203.5166
797,7158.899
798,6863.6055
799,6337.905
800,2760.8782
801,7387.925
802,5186.108
803,5272.2217
804,5633.763
805,4573.9526
806,5223.757
807,7294.632
808,5973.374
809,5914.8335
810,6355.5703
811,6561.9346
812,6748.974
813,6584.5415
814,6180.2695
815,7162.071
816,7223.0156
817,7188.543
818,6881.6797
819,6329.5264
820,7226.873
821,7279.1895
822,7232.781
823,6916.0806
824,6446.6562
825,2854.7197
826,4806.3486
827,6099.469
828,5930.9995
829,6336.212
830,4478.4863
831,5911.9175
832,6635.693
833,5217.469
834,6156.1064
835,5107.3936
836,6328.708
837,7061.575
838,6749.959
839,6472.8774
840,7020.5156
841,7223.158
842,7265.8335
843,6898.7812
844,6515.508
845,7071.4634
846,7256.7676
847,7285.121
848,6913.4805
849,7224.8613
850,4492.3965
851,2364.734
852,3982.714
853,7143.1597
854,6865.8794
855,2938.7793
856,3562.4822
857,5010.3047
858,5594.5913
859,6982.4165
860,5691.888
861,5873.1035
862,6136.334
863,6179.7075
864,7094.1084
865,6645.203
866,6669.071
867,6651.5654
868,6461.006
869,7158.289
870,6713.524
