d-12,d0,d12,d24,d36,d48,d60,d72,Load,T_conc,T_base,E_subg,E_base,E_conc
3.553,4.847,3.553,2.74019,2.07677,1.59489,1.31503,1.10821,12000,300,300,20,30,500
3.0134,4.2338,3.0134,2.36031,1.83938,1.46043,1.21801,1.0201,12000,300,300,20,70,500
1.9784,3.0449,1.9784,1.63887,1.37958,1.17487,1.00334,0.833185,12000,300,300,20,350,500
1.4079,2.3631,1.4079,1.24611,1.11686,0.990264,0.857186,0.714686,12000,300,300,20,1400,500
0.8913,1.7767,0.8913,0.826312,0.762963,0.686354,0.598195,0.502679,12000,300,300,20,14000,500
2.7353,3.4013,2.7353,2.22482,1.76845,1.41929,1.17214,0.957926,12000,300,300,20,30,1000
2.4309,3.064,2.4309,1.99387,1.6133,1.32209,1.10634,0.911537,12000,300,300,20,70,1000
1.6978,2.2476,1.6978,1.45069,1.2507,1.08575,0.934309,0.778159,12000,300,300,20,350,1000
1.2053,1.6507,1.2053,1.09647,0.996473,0.889481,0.773159,0.649443,12000,300,300,20,1400,1000
0.7776,1.1785,0.7776,0.72597,0.670631,0.604005,0.528459,0.447075,12000,300,300,20,14000,1000
1.5853,1.7753,1.5853,1.41133,1.24004,1.08099,0.924638,0.763499,12000,300,300,20,30,3500
1.4966,1.6787,1.4966,1.33642,1.18161,1.03743,0.892886,0.741626,12000,300,300,20,70,3500
0.8689,0.9155,0.8689,0.814766,0.74737,0.670202,0.585484,0.495551,12000,300,300,20,350,3500
0.9509,1.0708,0.9509,0.882171,0.806767,0.722999,0.631979,0.535737,12000,300,300,20,1400,3500
0.5343,0.6548,0.5343,0.501183,0.463779,0.419983,0.371334,0.319664,12000,300,300,20,14000,3500
0.3387,0.3829,0.3387,0.318235,0.295137,0.268853,0.240168,0.210096,12000,300,300,20,30,12000
0.9443,0.9928,0.9443,0.88474,0.810189,0.724943,0.63157,0.532692,12000,300,300,20,70,12000
0.8192,0.8608,0.8192,0.769334,0.706564,0.634325,0.554857,0.470474,12000,300,300,20,350,12000
0.3387,0.3829,0.3387,0.318235,0.295137,0.268853,0.240168,0.210096,12000,300,300,20,1400,12000
0.3387,0.3829,0.3387,0.318235,0.295137,0.268853,0.240168,0.210096,12000,300,300,20,14000,12000
0.9045,0.9504,0.9045,0.847089,0.774925,0.692575,0.602864,0.508355,12000,300,300,20,30,14000
0.8843,0.9275,0.8843,0.829973,0.761153,0.68202,0.595184,0.503135,12000,300,300,20,70,14000
0.8192,0.8608,0.8192,0.769334,0.706564,0.634325,0.554857,0.470474,12000,300,300,20,350,14000
0.6753,0.716,0.6753,0.633783,0.58289,0.524782,0.461181,0.393872,12000,300,300,20,1400,14000
0.3202,0.3593,0.3202,0.300941,0.279172,0.254431,0.227506,0.199296,12000,300,300,20,14000,14000
3.1609,4.7894,3.1609,2.11799,1.43167,1.02401,0.809009,0.719653,12000,300,300,50,30,500
2.4825,3.9693,2.4825,1.70396,1.21394,0.91084,0.738245,0.64222,12000,300,300,50,70,500
1.5988,2.7959,1.5988,1.21959,0.961636,0.774401,0.641807,0.535801,12000,300,300,50,350,500
1.1542,2.188,1.1542,0.965213,0.817796,0.692618,0.585549,0.485181,12000,300,300,50,1400,500
0.7179,1.6434,0.718,0.660155,0.60186,0.534577,0.460376,0.382371,12000,300,300,50,14000,500
2.5229,3.3865,2.5229,1.8474,1.32038,0.963292,0.762295,0.645333,12000,300,300,50,30,1000
2.0934,2.8941,2.0934,1.54788,1.14254,0.869658,0.706079,0.597489,12000,300,300,50,70,1000
1.4226,2.0741,1.4226,1.12165,0.900797,0.737811,0.61584,0.51266,12000,300,300,50,350,1000
1.0023,1.53,1.0023,0.860542,0.745928,0.643881,0.548964,0.455503,12000,300,300,50,1400,1000
0.654,1.0833,0.654,0.606237,0.553377,0.492533,0.425691,0.355495,12000,300,300,50,14000,1000
1.5503,1.8206,1.5503,1.27857,1.02668,0.824456,0.670744,0.54092,12000,300,300,50,30,3500
1.3911,1.647,1.3911,1.14935,0.932597,0.761863,0.631145,0.51723,12000,300,300,50,70,3500
1.0955,1.313,1.0956,0.929355,0.786348,0.668224,0.56562,0.467753,12000,300,300,50,350,3500
0.8103,0.9717,0.8103,0.723799,0.643362,0.564323,0.484756,0.404283,12000,300,300,50,1400,3500
0.4954,0.6179,0.4954,0.462266,0.423792,0.37976,0.331771,0.281564,12000,300,300,50,14000,3500
0.9503,1.0281,0.9503,0.856503,0.753819,0.650296,0.547344,0.444865,12000,300,300,50,30,12000
0.8874,0.9601,0.8874,0.80236,0.710504,0.617844,0.52474,0.430713,12000,300,300,50,70,12000
0.7945,0.8599,0.7945,0.722755,0.645135,0.565448,0.483985,0.400909,12000,300,300,50,350,12000
0.8103,0.9717,0.8103,0.723799,0.643362,0.564323,0.484756,0.404283,12000,300,300,50,1400,12000
0.3418,0.3862,0.3418,0.319629,0.29428,0.265722,0.234881,0.202901,12000,300,300,50,14000,12000
0.8966,0.9634,0.8966,0.813555,0.720408,0.624246,0.52715,0.429724,12000,300,300,50,30,14000
0.8414,0.9035,0.8414,0.766069,0.68224,0.595532,0.507023,0.417056,12000,300,300,50,70,14000
